eps,minPts,n_clusters,noise_pct,silhouette
0.01,30,12,8.755,-0.07042934039446984
0.01,50,11,17.1,-0.3180689706890589
0.01,75,29,33.18,-0.05367718091966251
0.01,100,19,53.205000000000005,-0.13236860390678787
0.02,30,8,1.315,0.2575477446270261
0.02,50,3,3.6700000000000004,0.4229578824741326
0.02,75,4,5.135,0.14189702346250233
0.02,100,3,6.905,0.16502548211301757
0.03,30,3,0.27,0.4775065419456878
0.03,50,4,1.045,0.40061129057000094
0.03,75,3,2.395,0.47366271550064937
0.03,100,2,3.34,0.4700944450667281
0.05,30,2,0.165,0.6139438678850998
0.05,50,1,0.38999999999999996,-1.0
0.05,75,1,0.38999999999999996,-1.0
0.05,100,2,0.525,0.519300714462051
0.07,30,2,0.165,0.6239376718813477
0.07,50,1,0.38999999999999996,-1.0
0.07,75,1,0.38999999999999996,-1.0
0.07,100,1,0.38999999999999996,-1.0
0.1,30,2,0.165,0.6172952362421832
0.1,50,1,0.38999999999999996,-1.0
0.1,75,1,0.38999999999999996,-1.0
0.1,100,1,0.38999999999999996,-1.0
