Feature,Importance
BEGIN_LON,0.15142112759199117
BEGIN_LAT,0.14368659716146026
MAGNITUDE,0.11627298079014481
YEAR,0.11500218440724423
DURATION_MIN,0.09858610876711937
HOUR,0.09558337968782468
DAY_OF_WEEK,0.06499492904491794
MONTH,0.05075788619286345
PATH_LENGTH_DEG,0.04251905789507115
EVENT_TYPE_Thunderstorm Wind,0.025580499516527952
EVENT_TYPE_Strong Wind,0.013006238758748179
EVENT_TYPE_Tornado,0.00744529636320879
HUMAN_IMPACT,0.007320158049209554
SEASON_Summer,0.006137555557805136
SEASON_Spring,0.00598787722601692
SEASON_Winter,0.005383685600582321
INJURIES_DIRECT,0.0051587713904420705
SEASON_Fall,0.004926715497827056
EVENT_TYPE_High Wind,0.004786534240599757
EVENT_TYPE_Flash Flood,0.004013894410409468
