EVENT_TYPE,count,total_damage,mean_damage,median_damage,max_damage,total_deaths,total_injuries,mean_duration,pct_with_damage
Hurricane (Typhoon),2106,167174154110.0,79379940.22317189,75000.0,10000000000.0,1378,4251,1693.0702754036088,57.59734093067427
Flash Flood,104872,102729202940.0,979567.5007628347,0.0,10000100000.0,1989,6576,204.58870813944617,36.473987336944084
Storm Surge/Tide,1651,60969070340.0,36928570.76923077,0.0,17900000000.0,44,43,1281.5542095699575,34.161114476075106
Flood,67780,48799689470.0,719971.8127766303,0.0,3000000000.0,751,2452,3101.5511212747124,29.71968132192387
Tornado,41180,41707072740.0,1012799.2408936376,1000.0,2800000000.0,2175,28500,5.897911202849279,50.87421078193298
Wildfire,8976,40297625020.0,4489485.853386809,0.0,17000000000.0,512,2829,5444.178364527629,24.0975935828877
Hail,328653,35145143710.0,106936.93260064567,0.0,2300000000.0,21,1032,2.5867495504376956,9.458304047125692
Drought,78100,31276735480.0,400470.3646606914,0.0,1500000000.0,0,358,13854.875787451985,6.336747759282971
Coastal Flood,4339,21931555600.0,5054518.460474764,0.0,7500000000.0,59,17,826.7123761235308,17.123761235307676
Tropical Storm,7136,21372347250.0,2995003.8186659194,0.0,5030000000.0,297,430,1334.3738789237668,37.96244394618834
High Wind,91190,16561389130.0,181614.09288299156,0.0,2000000000.0,485,2036,377.15479767518366,19.26527031472749
Thunderstorm Wind,428798,13217483010.0,30824.497805493495,0.0,750000000.0,905,7690,3.0910685217748215,46.98412772447632
Ice Storm,12341,6063456310.0,491326.17372984363,0.0,165000000.0,192,1879,1196.218134673041,27.53423547524512
Frost/Freeze,14863,5966723820.0,401448.14774944494,0.0,568750000.0,6,21,766.6197941196259,6.882863486510125
Winter Storm,87172,3209191460.0,36814.47551966228,0.0,750000000.0,586,3383,1334.5654797412012,9.083191850594227
Cold/Wind Chill,16945,2080685400.0,122790.5222779581,0.0,490500000.0,717,340,2371.4627323694303,4.355267040424904
Heavy Rain,30875,1625288930.0,52640.93700404858,0.0,200000000.0,237,639,1056.2043400809716,5.217813765182186
Blizzard,16409,1360628700.0,82919.65994271437,0.0,100000000.0,245,640,1122.966116155768,8.611128039490524
Debris Flow,2354,1332977670.0,566260.6924384027,0.0,617000000.0,150,251,429.82158028887,34.112149532710276
Heavy Snow,73382,1130366460.0,15403.865525605734,0.0,100000000.0,275,1352,1222.1176310266824,5.621269521135973
Lightning,17881,1059293080.0,59241.266148425704,5000.0,19000000.0,987,5720,14.511548571108998,70.53856048319446
Strong Wind,26960,942041020.0,34942.17433234421,1000.0,200000000.0,366,694,433.43805637982194,77.38872403560832
Heat,32034,521319010.0,16273.928013985142,0.0,224970000.0,3834,11044,3549.972810139227,0.19354435911843668
Hurricane,43,460000000.0,10697674.418604651,0.0,77000000.0,6,2,728.3720930232558,37.2093023255814
Extreme Cold/Wind Chill,16383,361125800.0,22042.715009461026,0.0,65000000.0,263,59,2045.461637062809,1.6480498077275225
High Surf,10578,325553540.0,30776.473813575347,0.0,40000000.0,301,380,3399.503592361505,1.5976555114388353
Lake-Effect Snow,2683,292727000.0,109104.36079016027,0.0,130000000.0,26,37,1650.86134923593,35.892657472978016
