Feature,Importance_Mean,Importance_Std
MAGNITUDE,0.07580773264419068,0.0009496829966800015
BEGIN_LAT,0.06708966249719808,0.0021121892332363963
BEGIN_LON,0.06341980119820054,0.0013344764394609967
EVENT_TYPE,0.05906035963415821,0.0011435498416699048
YEAR,0.03815415724789826,0.0018906683204604022
DURATION_MIN,0.032334577679259,0.0019546763751502843
EPISODE_SIZE,0.0254628627971365,0.0019149249979787321
SEASON,0.02141067695739394,0.0021705371157356617
LOG_DURATION,0.021338356895236443,0.0009722373642550463
PATH_LENGTH_DEG,0.014292213548187304,0.0011863014938848398
IS_COASTAL,0.013801362516164883,0.0015198045143161828
DECADE,0.01160651700284505,0.0007701741281990349
MONTH,0.011580513881950449,0.0021315656008561827
HOUR,0.010250819287364488,0.0009430669048234021
DAY_OF_WEEK,0.007869609608210038,0.0020470838616478888
HAS_MAGNITUDE,0.005330340772572195,0.0008128745985182668
EF_NUMERIC,0.003064907869209832,0.00033789557084670774
HUMAN_IMPACT,0.0014213947130414573,0.00037175862704712237
INJURIES_DIRECT,0.0003968432183155679,0.00029491484637446906
DEATHS_INDIRECT,5.337194942851564e-05,1.8950185092148073e-05
DEATHS_DIRECT,3.099846808669593e-05,7.337914768733715e-05
INJURIES_INDIRECT,-0.00010500988826087632,5.076890913255468e-05
