Feature,Importance
BEGIN_LON,0.12901658221971501
BEGIN_LAT,0.12655450912575889
MAGNITUDE,0.09094843654033381
HOUR,0.0847927700404977
EPISODE_SIZE,0.08406253811826606
YEAR,0.08231089999529884
DAY_OF_WEEK,0.05916679906953653
DURATION_MIN,0.05675368562639462
LOG_DURATION,0.05572223525508077
MONTH,0.04843926967597199
PATH_LENGTH_DEG,0.033723870470728785
DECADE,0.02269693606579773
EVENT_TYPE_Thunderstorm Wind,0.01729785190480562
HAS_MAGNITUDE,0.010872751060504907
IS_COASTAL,0.009695245565956221
EVENT_TYPE_Strong Wind,0.008859849837898585
EF_NUMERIC,0.007796538602151392
SEASON_Summer,0.0073936891027413685
SEASON_Spring,0.00734254566462214
SEASON_Winter,0.0060039255840974495
HUMAN_IMPACT,0.006001413304654927
SEASON_Fall,0.00592765967314552
EVENT_TYPE_High Wind,0.004310133184935766
INJURIES_DIRECT,0.0039529239168988525
EVENT_TYPE_Flood,0.003330481654657614
